year,sector,company,sentence,label
2014,Automobile,hyundai_motors,사진은 -7년 서울 모터쇼에 출품한 현대자동차 콘셉트카 HND -7 벤 에이스,I
2009,Aviation,asiana_air,이에 따라 국내여객 매출 액은 -7억 원으로 전년 대비 -7 -7 증가하였습니다,I
2008,Automobile,hyundai_motors,이를 위해 기존 글로벌경영 품질경영 브랜드 경영의 강화를 통한 경제적 가치 창출에 더욱 힘쓰면 서 국내외 환경규제 및 협약을 엄격히 준수할 뿐만 아니라 하이브리드차 및 수소 연료전지차와 같 은 친환경차의 개발과 보급을 적극 추진하여 에너지 위기와 지구 환경 문제 해결을 선도해 나가는 기 업이 될 것입니다,R
2011,Heavy industry,samsung_heavy_industries,우선 우리 회사의 경쟁력과 -7년도 경영 성과를 살펴보겠습니다,I
2017,Steel industry,posco,이 교육은 부서별로 자발적인 신청을 받아 운영하였으며 구룡포 패밀리 수 현원 월포수련관 고흥 패밀리 수련원 백운산 수련관 송도글로벌 리더 심 센터 등 사내외 시설에서 -7일간 운영하였습니다,I
2020,IT,naver,개선 가능성이 없는 경우 차후 재계약을 진행하지 않는 등의 방식으로 보호 수준을 유지하고 있습니다,S
2019,Heavy industry,hyundai_heavy_industries,IMO의 연료유 황 함량 규제 강화로 인한 저 유황 경유 및 벙커에 수요에 대비하여 고도화 공 정 규모를 늘리고 석유화학사업의 생산설비를 증대하여 경쟁력을 강화할 계획입니다,I
2012,Automobile,hyundai_motors,최근 전 세계적으로 환경에 대한 기업의 책임이 주요 이슈로 부상함에 따라 현대자동차 역시 자동 차의 온실가스 배출량을 저감하고 대체에너지로 전환하기 위해 지속적으로 하이브리드 자동차 및 대체연료차 연구개발을 강화하고 있다,E
2019,Automobile,kia_motors,당시 경험했던 서비스는 레이디 케어였고 늘어나고 있는 여성 운전자들의 의견을 반영하여 마련한 서비스라는 것을 알 게 되었습니다,S
2015,Automobile,hyundai_motors,현대자동차는 정도경영 투명 경영 문화를 현대자동차 고유의 회사 문화로 정착함으로써 율준수 프로그램 Compliance program을 실시하고 있습니다,G
2019,Finance,shinhan,또한 뉴욕증권거래소 NYSE의 상장기 업 사외이사 독립성 요건을 자발적으로 준수하고 있습니다,G
2010,Finance,kb,전행적으로 전기 절약을 실천할 수 있도록 구체적인 절약 방법을 제시하여 전파하였으며 매월 첫째 주 금요일을 에너 지 절감의 날로 지정하고 에너지 절감 실천 점검단을 운 영하여 절감 활동이 체질화되도록 노력하였습니다,E
2008,Aviation,korean_air,대한항공의 환경영향은 화석연료 사용에 따른 CO -7 NOX 등의 배출가스와 항공기 이착륙 시 발생하는 소음으로 크게 나눌 수 있습니다,R
2017,Steel industry,posco,외부에서 승진 축하 선물로 받은 화훼는 온라인 화훼경매를 실시하며 임직원뿐만 아니라 일반인도 경매 참여가 가능합니다,G
